Song Kang-ho,Shin Se-kyung,Chun Jung-myung,hindsight
Lee Se-eun,Lee Yoo-ri,Seong-min Choi,bunshinsaba: ouija board
Anthony Wong,Stephen Fung,Charlene Choi,house of fury
Lau Ching-Wan,Nicholas Tse,Yang Mi,the bullet vanishes
Moon Jeong-hee,Kang Shin-il,Choi Jeong-woo,deranged
Ahn Han-gyoo,Bae Jun-wu,Choi Yoo-ri,private eye
Soo-Ae,Yoo Ji-tae,Ma Dong-seok,midnight fm
Jackie Chan,Jet Li,Andy Lau,the founding of a republic
Kiefer Sutherland,Alun Armstrong,Nastassja Kinski,paradise found
Edward Akrout,Matt Barber,Megan Maczko,deadly virtues: love. honour. obey.
Shawn Hatosy,Scott Glenn,Erin Cottrell,faith of my fathers
Takayuki Yamada,Chizuru Ikewaki,Lily Franky,the devil's path
Masahiro Higashide,Taichi Saotome,Yuya Yagira,crows explode
Daniel Wu,Yao Chen,Simon Yam,control
Mary Pickford,William Scott,Kate Price,amarilly of clothes-line alley
Pilou Asbæk,Nicolas Bro,Jesper Christensen,"sex, drugs & taxation"
Julie Benz,Carter Jenkins,Cesar Garcia,circle
Ruby Dee,Taungaroa Emile,Mia Blake,no. 2
Aleksei Buldakov,Leonid Yarmolnik,Sergei Makovetsky,operation 'happy new year'!
Eugene,Cha Soo-yeon,Jo Eun-Ji,yoga
Kim Dong-wook,Kim Min-jae,Shin Da-eun,the cat
Rain,Yu Jun-sang,Shin Se-kyung,r2b: return to base
Kang Ha-Neul,Kim So-eun,Kim Jeong-tae,mourning grave
Sol Kyung-gu,Na Moon-hee,Jo Han-sun,cruel winter blues
Kang Dong-won,Go Soo,Jung Eun-chae,haunters
Lee Beom-soo,Yoon Jeong-hee,Nam Gyu-ri,death bell
Ha Jung-woo,Park Hee-soon,Jang Hyuk,the client
Kenichi Matsuyama,Koyuki,Kaoru Kobayashi,kamui
Wu Jing,Celina Jade,Kara Hui,legendary assassin
Jung Jae-young,Lee Sung-min,Seo Jun-young,broken
Yoo Seung-mok,Yoon Je-moon,Kim Tae-woo,quick
Toma Ikuta,Yasuko Matsuyuki,Yosuke Eguchi,the brain man
Aaron Stanford,Robin Tunney,Peter Gerety,runaway
Simon Yam,Nick Cheung,Kay Tse,nightfall
Yumiko Shaku,Takao Osawa,Shosuke Tanihara,sky high
Uhm Jung-hwa,Kim Sang-kyung,Song Young-chang,montage
Yu-mi Kim,Lim Eun-Kyeong,Shim Hyung-tak,the doll master
Lau Ching-Wan,Louis Koo,Daniel Wu,overheard
Sol Kyung-gu,Han Hyo-joo,Jung Woo-sung,cold eyes
Park Yong-woo,Choi Ji-na,Ji Sung,blood rain
Shin Hyun-joon,Won Bin,Shin Ha-kyun,guns & talks
Aaron Kwok,Tony Leung Ka-Fai,Andy Lau,cold war
Anthony Michael Hall,Nicole de Boer,Chris Bruno,the dead zone
Lau Ching-Wan,Richie Ren,Myolie Wu,life without principle
Kazunari Ninomiya,Etsushi Toyokawa,Honami Suzuki,platinum data
Shin Ha-kyun,Lee Min-ho,Kim Sang-ho,running man
Ray Liotta,Shaun Sipos,Glenne Headly,comeback season
Lee Na-young,Lee Sung-min,Song Kang-ho,howling
Anthony Wong,Richie Ren,Janice Man,punished
Ryoo Seung-bum,Hwang Jung-min,Choo Ja-hyun,bloody tie
Kim Min-hee,Lee Sun-kyun,Cho Seong-ha,helpless
Masanobu Ando,张雨绮,Liu Xiaoye,"the butcher, the chef, and the swordsman"
Shawn Hatosy,DJ Qualls,Tom Bower,familiar strangers
Kim Myung-min,Son Ye-jin,Kim Hae-sook,open city
Michael Chan Wai-Man,Pinky Cheung,Eddie Cheung Siu-Fai,king of triads
Kim So-hyun,Park Joo-mi,Kim Myung-min,man of vendetta
Lee Si-young,Uhm Ki-Joon,Hyun Woo,killer toon
Sammo Hung,Vanness Wu,Cherrie Ying,kung fu chefs
Park Bo-young,Joo Won,Ko Won-hee,don't click
Wong Yau-Nam,Chen Kuan-Tai,Bruce Leung Siu-Lung,gallants
Tony Leung Chiu-Wai,Shu Qi,Meme Tian,seoul raiders
Shawn Yue,Anthony Wong,Guo Xiaodong,motorway
Kim Soo-Hyun,Park Ki-Woong,Lee Hyun-woo,"secretly, greatly"
Aaron Kwok,Ekin Cheng,Daniel Wu,divergence
Aaron Kwok,Janine Chang,Eddie Cheung Siu-Fai,murderer
Ji Jin-hee,Lee Jong-hyuk,Yoon Se-ah,parallel life
Jang Tae-seong,Joo Sang-wook,Yang Dong-geun,days of wrath
Daniel Wu,Louis Koo,Lau Ching-Wan,overheard 2
Louis Koo,Lau Ching-Wan,Daniel Wu,overheard 3
Huang Bo,Kong Jiu,Shaohua Ma,silver medalist
Han Seok-kyu,Cha Seung-won,Song Young-chang,eye for an eye
Fala Chen,Simon Yam,Andy On,black ransom
Hideaki Ito,Ai Kato,Ryuta Sato,brave hearts: umizaru
Byeong-chun Kim,Seung-cheol Kim,Kim Seung-woo,heaven's soldiers
Lau Ching-Wan,Ekin Cheng,Kelly Lin,running out of time 2
Leslie Cheung,Alex Fong Chung-Sun,Ruby Wong,double tap
Kim Jung-hwa,Gong Yoo,Nam Sang-mi,spy girl
Andy Lau,Sammi Cheng,Guo Tao,blind detective
Olivia Wilde,Luke Wilson,Elisabeth Moss,meadowland
Dave Grohl,Elton John,Bruce Springsteen,all things must pass
Jack Black,Dylan Minnette,Odeya Rush,goosebumps
Misty Copeland,Victoria Rowell,Bevy Smith,a ballerina's tale
Jin Goo,Kim Mu-yeol,Lee Hyun-woo,northern limit line
Lea Thompson,Michael J. Fox,Christopher Lloyd,back in time
Malin Buska,Sarah Gadon,Michael Nyqvist,the girl king
Benjamin Dickinson,Nora Zehetner,Dan Gill,creative control
Alec Su,Ariel Lin,Matt Wu Zhong-Tian,sweet alibis
Hidetoshi Nishijima,Masatō Ibu,Yoko Maki,genome hazard
Jang Hee-jin,Jung Kyung-ho,Kim So-yeon,gangster high
Kim Sang-kyung,Kim Sung-kyun,Park Sung-woong,the deal
Sienna Guillory,Gianni Capaldi,Enzo Cilenti,the wicked within
Cab Calloway,Ida James,Jeni Le Gon,hi-de-ho
Hans Matheson,Samantha Barks,Lesley Manville,the christmas candle
Vincent Lindon,Karine de Mirbeck,Mathieu Schaller,the measure of a man
Anthony LaPaglia,Julia Blake,Justine Clarke,a month of sundays
Sofía Espinosa,Marco Pérez,Tatiana del Real,gloria
Daniel Auteuil,Raphaël Personnaz,Jean-Pierre Darroussin,marius
Detlev Buck,Cornelia Froboess,Nina Kronjäger,windstorm
Penny Singleton,Arthur Lake,Larry Simms,blondie has servant trouble
Raphael Barker,Keith Barletta,Keith Barletta,algorithm
Robert Loggia,Jessica Tuck,Ron Silver,lifepod
Zoë van der Kust,Michiel Romeyn,Loes Haverkort,my grandpa the bankrobber
Patrik Almkvist,Jessica Blomkvist,Johannes Brost,wither
Chris Nicola,Saul Stermer,Sam Stermer,no place on earth
Charlie Chaplin,Eric Campbell,Edna Purviance,the floorwalker
Paresh Rawal,Annu Kapoor,Naseeruddin Shah,religion in crisis
Dharmendra,Sharmila Tagore,Amitabh Bachchan,chupke chupke
Vikram,Amy Jackson,Suresh Gopi,i
Charlie Chaplin,Edna Purviance,Eric Campbell,the vagabond
Masahiro Takashima,Brenda Bakke,James Brewster Thompson,gunhed
Charlie Chaplin,Eric Campbell,Edna Purviance,the count
Charlie Chaplin,Henry Bergman,Edna Purviance,the pawnshop
Drew Barrymore,Toni Collette,Dominic Cooper,miss you already
Nathan Stevens,Jasen Wade,Caitlin E.J. Meyer,the cokeville miracle
Gordon Lam Ka-Tung,Teddy Robin Kwan,Fala Chen,tales from the dark 2
Keller Wortham,Shari Solanis,Luis Fernandez-Gil,now & later
Christopher Lloyd,Sean Astin,Mia Sara,the witches of oz
Peter Stormare,Stella Maeve,Grace Phipps,dark summer
Wayne Dyer,Portia de Rossi,Edward Kerr,the shift
Aaron Paul,Adam Levine,Adrian Grenier,unity
Michael Ealy,Sanaa Lathan,Моррис Честнат,the perfect guy
Bill Murray,Zooey Deschanel,Bruce Willis,rock the kasbah
Lee Grant,Carol Kane,Will Geer,the mafu cage
Neve Campbell,Jake Busey,Charles Powell,lost junction
Roy Scheider,Karen Young,Lane Smith,night game
Michael Higgins,Lois Holmes,Jean Allison,edge of fury
Nicholas Braun,Mackenzie Davis,Ed Westwick,freaks of nature
Tannishtha Chatterjee,Nicholas Brown,Brett Lee,unindian
Toma Cuzin,Radu Banzaru,Florin Kevorkian,the treasure
Adriana Solis,Blair Wojcik,Monica Percich,housekeeping
Michael Weston,Jimmi Simpson,Sutton Foster,gravy
Akira Terao,Eri Fukatsu,Takanari Saito,the professor and his beloved equation
Gary Busey,Morgan Fairchild,Benjamin Stone,bikini model academy
Mena Suvari,Martin Sheen,Lochlyn Munro,badge of honor
Bella Heathcote,Lucas Till,Helen Slater,the curse of downers grove
Henry Adofo,Michael Attram,Alphonse Menyo,freetown
Keir Gilchrist,Pollyanna McIntosh,Samuel Witwer,tales of halloween
Eita,Yoshiaki Yoza,Daijiro Kawaoka,summer time machine blues
Osamu Takizawa,Masayuki Mori,Setsuko Hara,the ball at the anjo house
Gregory Antoine,Terry Braun,Gregory Antoine,the day the '60s died
Kim van Kooten,Nick Geest,Joop Keesmaat,"alfie, the little werewolf"
Ali Larter,Merrin Dungey,Patrick Fischler,the diabolical
Teodor Corban,Mihai Comanoiu,Toma Cuzin,aferim!
Layke Anderson,Benn Northover,Udo Kier,house of boys
Adolf Wohlbrück,Akim Tamiroff,Elizabeth Allan,the soldier and the lady
Audie Murphy,Richard Lapp,Anne Randall,a time for dying
Jeff Chandler,Alex Nicol,Charles Drake,the red ball express
Roddy McDowall,Laurette Luez,Roland Winters,killer shark
Lucille Bremer,Richard Carlson,Douglas Fowley,behind locked doors
Gene Raymond,Noreen Nash,Robert Bice,assigned to danger
Jim Bannon,Janis Carter,George Macready,the missing juror
Paul Hartmann,Attila Hörbiger,Olly von Flint,the tunnel
Jane Wyman,Charles Laughton,Joan Blondell,the blue veil
Catherine Keener,Hafsia Herzi,Ben Kingsley,war story
Luc Merenda,Lou Castel,Andrea Franchetti,could it happen here?
Margo,Tom Neal,J. Carrol Naish,behind the rising sun
Ida Lupino,Sydney Greenstreet,William Prince,pillow to post
Gianni Garko,Ivan Rassimov,Elisa Montés,taste of vengeance
Franca Gonella,Gianni Dei,Femi Benussi,a virgin in the family
Antonio Marsina,Ketty Nichols,Tony Raccosta,rolf
Chris Schellenger,Katy Reece,Austin Scott,they found hell
Edwige Fenech,Corrado Pani,Richard Conte,"anna: the pleasure, the torment"
Patrick Wayne,Yvonne Craig,Dennis Hopper,the young land
Kristjan Üksküla,Kaspar Velberg,Märt Pius,1944
Cary Elwes,Jon Voight,James Cromwell,pope john paul ii
Josh Lucas,Ayelet Zurer,James Cromwell,hide away
Porntip Papanai,Nopachai Chaiyanam,Wanida Termthanaporn,nymph
Rollin Perry,Seth Cassell,Michelle Penick,sex pot
Cantinflas,Lilia Prado,Sara García,el analfabeto
Cantinflas,Paquito Fernández,Manola Saavedra,el bolero de raquel
Scott Storm,Paul Osborne,Andy Dick,official rejection
Saif Ali Khan,Anand Tiwari,Vir Das,go goa gone
Nick Giannopoulos,Russell Dykstra,Isla Fisher,the wannabes
Jean-Paul Belmondo,Michel Constantin,Jacques Villeret,the vultures
Tom Savini,Nicole Petty,Daniel Maclagan,forest of the damned
Gijs Naber,Yannick van de Velde,Anniek  Pheifer,aanmodderfakker
Matouš Ruml,Pavel Liška,Jiří Lábus,škola princů
Sabine Eggerth,Peter Feldt,Hertha Feiler,pünktchen und anton
Audrey Tautou,Edouard Baer,Jean-Pierre Marielle,phantom boy
François Damiens,Finnegan Oldfield,Agathe Dronne,les cowboys
Aleksey Chadov,Andrey Chadov,Maxim Lagashkin,alive
Eddie Marsan,George MacKay,Rob Brydon,the best of men
Kurt Russell,Patrick Wilson,Matthew Fox,bone tomahawk
Chris J. Murray,Brit Shaw,Ivy George,paranormal activity: the ghost dimension
Louis Koo,Liu Yifei,Yu Shao-Qun,a chinese ghost story
Ed Gildersleeve,Nikki Haddad,Jessi Haddad,imagination
Mylène Jampanoï,Li Xiaoran,Dong Fu Lin,the chinese botanist's daughters
Ruby Crystal,John Ashley Hamilton,Eartha Robinson,the secret life of plants
Tony Kendall,Helga Liné,Silvia Tortosa,the loreley's grasp
Julián Mateos,Marián Salgado,Fernando Sancho,demon witch child
María Kosty,Simón Andreu,Kali Hansa,night of the sorcerers
Víctor Petit,María Kosty,Sandra Mozarowsky,night of the seagulls
Timothy Bottoms,Taryn Power,Jared Martin,the sea serpent
Lilli Palmer,Cristina Galbó,John Moulder-Brown,the house that screamed
Toni Collette,Robin McLeavy,Rufus Sewell,blinky bill the movie
Tara Breathnach,Muireann Bird,Gerard McCarthy,a nightingale falling
Aubrey Peeples,Stefanie Scott,Hayley Kiyoko,jem and the holograms
Antonio Banderas,Rodrigo Santoro,Juliette Binoche,the 33
Alba Rohrwacher,Filippo Timi,Toni Bertorelli,blood of my blood
Eri Fukatsu,Tadanobu Asano,Yu Aoi,journey to the shore
Samira Saraya,Doraid Liddawi,Na'ama Shoham,self made
Carol Abney,Stephen Baldwin,Jacob Bonnema,the genius club
Shun Oguri,Atsuro Watabe,Takuya Ishida,peak: the rescuers
Kiichi Nakai,Reiko Takashima,Yuika Motokariya,railways
Richard Riehle,Jason Mewes,Blakely Bunnell,the watermen
Helmi Dridi,Vesela Kazakova,Aruna Shields,ao: the last hunter
Kenichi Matsuyama,Masaaki Uchino,Yūko Tanaka,homeland
Mackenzie Rosman,Shawn C. Phillips,Richard Moll,ghost shark
Davika Hoorne,Kantaphat Phoemphunphatsuk,วิวัฒน์ คงราศรี,pee mak phrakanong
Pierfrancesco Favino,Claudio Amendola,Alessandro Borghi,suburra
MacLeod Andrews,Evan Dumouchel,Margaret Ying Drake,they look like people
John Newton,Ed Asner,Alice Evans,the christmas card
James D'Arcy,Natasha Wightman,Terence Stamp,revelation
Christopher Lee,Bela Lugosi,Julian Sands,extraordinary tales
Anna Shurochkina,Ivan Okhlobystin,Anna Khilkevich,the snow queen 2: refreeze
Gérard Lanvin,JoeyStarr,Ymanol Perset,colt 45
Brett Goldstein,Catherine Tate,Natalia Tena,superbob
Nathaniel Parker,Jonathan Pryce,Leonard Nimoy,david
Ed Speleers,Shauna Macdonald,Elliot Cowan,howl
Kelly Sheridan,Kazumi Evans,Claire Maggie Corlett,barbie & her sisters in the great puppy adventure
William Hurt,Julia Ormond,Matt Craven,varian's war
Madolyn Smith Osborne,Tom Berenger,David Keith,if tomorrow comes
Angélica Aragón,Steven Bauer,Kuno Becker,from mexico with love
Patricia Velásquez,Mimí Lazo,Danay García,liz in september
Seret Scott,Bill Gunn,Duane Jones,losing ground
Ben Ellison,Matthew Baidoo,Akim Mogaji,looking for langston
Kenneth Anger,Gordon Gray,Bill Seltzer,fireworks
Alex Loynaz,Justina Machado,Hale Appleman,pedro
Noel Palomaria,Malcolm Moorman,Charles Lanyer,hard
Knut Agnred,Kerstin Granlund,Peter Rangmar,monopol
Beren Saat,Yavuz Bingöl,Murat Ünalmış,gecenin kanatları
Mert Fırat,Tuba Ünsal,Kenan Ece,beni unutma
Amanda Seyfried,Russell Crowe,Aaron Paul,fathers and daughters
Julianne Hough,Teddy Sears,Madalyn Horcher,curve
Vinnie Jones,Ann Magnuson,James Caan,night at the golden eagle
Jim Belushi,Gary Basaraba,Jody Racicot,k-9: p.i.
Kate Winslet,Liam Hemsworth,Caroline Goodall,the dressmaker
James Remar,Mario Van Peebles,Catherine Mary Stewart,sharpshooter
Bill Goldberg,Kurupt,Tony Plana,half past dead 2
A.J. Cook,Bruce Payne,Ryan Northcott,ripper: letter from hell
Walt Disney,Pinto Colvig,Clarence Nash,lonesome ghosts
Mary Moder,Dorothy Compton,Pinto Colvig,the big bad wolf
Walt Disney,Marcellite Garner,Clarence Nash,gulliver mickey
Pinto Colvig,Walt Disney,Marcellite Garner,ye olden days
Billy Bletcher,Pinto Colvig,Alice Ardell,three little wolves
Gayne Whitman,Sally Noble,Mary Rosetti,little hiawatha
Pinto Colvig,Clarence Nash,Walt Disney,magician mickey
Pinto Colvig,Walt Disney,Clarence Nash,alpine climbers
Walt Disney,Clarence Nash,Ned Norton,mickey's polo team
Walt Disney,Pinto Colvig,Billy Bletcher,pluto's judgement day
Billy Bletcher,Clarence Nash,Purv Pullen,who killed cock robin?
Billy Sheets,The Three Rhythm Kings,Marion Darlington,the flying mouse
Walt Disney,Pinto Colvig,Billy Bletcher,the mad doctor
Billy Bletcher,Walt Disney,Marcellite Garner,building a building
Jewel Staite,Justin Baldoni,Marc Bacher,the forgotten ones
Gig Young,Jean Hagen,Polly Bergen,arena
Sean Astin,Jodi Benson,Keith Carradine,balto iii: wings of change
Brendan Michael Coughlin,Patrick Scott Lewis,Katie Lowes,bear
John Carradine,Joi Lansing,Judy Jordan,bigfoot
Stefanie Powers,James Olson,Joss Ackland,crescendo
Barbie Hsu,Guo Tao,Lam Suet,million dollar crocodile
Dean Stockwell,Sean Patrick Thomas,Dina Cataldi,deep in the darkness
Stacey Dash,Reagan Gomez-Preston,Wesley Jonathan,dysfunctional friends
Sam Wanamaker,Lea Padovani,Kathleen Ryan,give us this day
Patty McCormack,Rachel Lemieux,Rachel Lemieux,mommy
Alice Cooper,Victoria Vera,Carlos Santurio,monster dog
Jane Badler,Jessica Marais,Travis Fimmel,needle
Dirk Nowitzki,Holger Geschwinder,Kobe Bryant,nowitzki: the perfect shot
Jay Harrington,David Beecroft,Carolyn Lowery,octopus
Juno Temple,Evan Peters,Kevin Alejandro,safelight
Roddy Piper,Jayne Heitmeyer,Billy Drago,sci-fighters
Samuel L. Jackson,Sam Rockwell,Halle Berry,strictly business
Jimmy Wang Yu,Lo Lieh,Wang Ping,the chinese boxer
Dougray Scott,Rachael Blake,Jeremy Lindsay Taylor,the diplomat
James Franco,Tim Blake Nelson,Joey King,the sound and the fury
Dolores del Río,Ralph Forbes,Karl Dane,the trail of '98
Jean Rochefort,Charlotte Rampling,Isabelle Nanty,twice upon a time
Errol Flynn,Paul Lukas,Lucile Watson,uncertain glory
David Niven,Françoise Dorléac,John Le Mesurier,where the spies are
Eli Roth,John Carpenter,George A. Romero,why horror?
Portia de Rossi,Lucy Fry,Angus Sampson,now add honey
Hideko Takamine,Yûzô Kayama,Mitsuko Kusabue,yearning
Anthony LaPaglia,Oscar Isaac,Nathan Phillips,balibo
Bruce Penhall,Mimsy Farmer,David Hess,body count
James Franciscus,Mimsy Farmer,Venantino Venantini,the concorde affair
Salvador Solís,Karla Valencia,Leandro Sanchez Arauz,the crow's nest
Alysa King,Madison Ferguson,Christophe Gallander,berkshire county
Jakob Eklund,Joel Kinnaman,Jens Hultén,johan falk: de 107 patrioterna
Luke Perry,Olivia d'Abo,Polly Shannon,the triangle
Nikolaj Lie Kaas,Fares Fares,Søren Pilmark,the absent one
Deborah Ann Woll,Luke Grimes,Ioan Gruffudd,forever
Nathalia Dill,Luca Bianchi,Lívia de Bueno,artificial paradises
Gianna Maria Canale,Carlo D'Angelo,Dario Michaelis,lust of the vampire
Cameron Mitchell,Giorgio Ardisson,Alice Kessler,erik the conqueror
Daniela Giordano,Brett Halsey,Dick Randall,four times that night
Telly Savalas,Elke Sommer,Robert Alda,the house of exorcism
Cameron Mitchell,Fausto Tozzi,Giacomo Rossi-Stuart,knives of the avenger
Ken Clark,Piero Lulli,Yvonne Bastien,gunman called nebraska
Ken Clark,Jany Clair,Michel Lemoine,the road to fort alamo
Jean-Louis Trintignant,Lino Capolicchio,Tony Musante,one night at dinner
Bryan Cranston,Diane Lane,Helen Mirren,trumbo
Maurice Chevalier,Eleanor Parker,Jayne Mansfield,panic button
Franco Franchi,Ciccio Ingrassia,Gloria Paul,two sons of ringo
George Hilton,Walter Barnes,Horst Frank,the moment to kill
George Hilton,Charles Southwood,Agata Flori,deep west
Gianni Garko,William Berger,Chris Chittell,a bullet for a stranger
George Hilton,Cris Huerta,Ida Galli,in the west there was a man named invincible
George Hilton,Chris Huerta,Antonio Monselesan,the crazy bunch
Carlo Giuffrè,Edwige Fenech,Carlo Delle Piane,poker in bed
Robert Iannucci,Alicia Moro,Luciano Pigozzi,exterminators of the year 3000
Katie Maguire,Catherine A. Callahan,Marie Maser,all hallows' eve
James Franciscus,Steve Railsback,Edward Albert,great transport
Barry Newman,Susan Clark,Shelley Winters,city on fire
Anthony Quinn,Jacqueline Bisset,Raf Vallone,the greek tycoon
Kenneth More,Cecil Parker,Dennis Price,the comedy man
Shinya Tsukamoto,Takahiro Murase,Takahiro Kandaka,haze
Mary-Kate Olsen,Ashley Olsen,Tom Amandes,billboard dad
Mary-Kate Olsen,Ashley Olsen,Jim Meskimen,our lips are sealed
Ashley Olsen,Mary-Kate Olsen,Lukas Behnken,the challenge
Sunil Shetty,Govinda,Akshaye Khanna,delhi safari
Zabou Breitman,Pascal Elbé,Jacques Gamblin,24 days
Jim Caviezel,Claudia Karvan,Robert Taylor,long weekend
Zhou Xun,Glen Chin,Wong Yau-Nam,hollywood hong kong
Catherine Frot,André Marcon,Michel Fau,marguerite
Alex Karpovsky,Jaime Ray Newman,Dennis Staroselsky,rubberneck
John Schneider,Sam McMurray,Sarah Lafleur,lake placid 2
Kirsty Mitchell,Colin Ferguson,Yancy Butler,lake placid 3
Yancy Butler,Robert Englund,Daniel Black,lake placid: the final chapter
Mario Carotenuto,Marisa Merlini,Andrea Checchi,getting away with it the italian way
Franco Franchi,Ciccio Ingrassia,Alighiero Noschese,i due della legione
Adriano Celentano,Claudia Mori,Donatella Turri,the strange type
Franco Nero,George Hilton,Giuseppe Addobbati,massacre time
Lando Buzzanca,Lionel Stander,Laura Antonelli,the eroticist
Brett Halsey,Corinne Cléry,Blanca Marsillach,the devil's honey
Jared Martin,Lara Lamberti,Ulli Reinthaler,aenigma
Claudio Aliotti,Maria Concetta Salieri,Robert Egon,sodoma's ghost
Olga Karlatos,Ray Lovelock,Cosimo Cinieri,murder-rock: dancing death
Brett Halsey,Zora Kerova,Al Cliver,touch of death
Jennifer O'Neill,Gabriele Ferzetti,Marc Porel,the psychic
Giuliano Gemma,Sven Valsecchi,Gianni De Luigi,they died with their boots on
Brett Halsey,Meg Register,Lino Salemme,demonia
Shota Sometani,Atsuko Maeda,Kaho Minami,kabukicho love hotel
Tadanobu Asano,Fumi Nikaido,Tatsuya Fuji,my man
