Hugh Grant,Kristin Scott Thomas,Emmanuelle Seigner,bitter moon
John Cusack,Dianne Wiest,Jennifer Tilly,bullets over broadway
Harrison Ford,Willem Dafoe,Anne Archer,clear and present danger
Whoopi Goldberg,Ray Liotta,Tina Majorino,"corrina, corrina"
Alfre Woodard,Delroy Lindo,David Patrick Kelly,crooklyn
Brandon Lee,Rochelle Davis,Ernie Hudson,the crow
Tommy Lee Jones,Robert Wuhl,Lolita Davidovich,cobb
John Goodman,Elizabeth Perkins,Rick Moranis,the flintstones
Tom Hanks,Robin Wright,Gary Sinise,forrest gump
Hugh Grant,Andie MacDowell,James Fleet,four weddings and a funeral
Omar Epps,Kristy Swanson,Michael Rapaport,higher learning
Lauren Vélez,Jon Seda,Tomas Melly,i like it like that
Nicolas Cage,Bridget Fonda,Rosie Perez,it could happen to you
Leni Riefenstahl,Marlene Dietrich,Walter Frentz,"the wonderful, horrible life of leni riefenstahl"
Jonathan Taylor Thomas,Matthew Broderick,James Earl Jones,the lion king
Keanu Reeves,Bridget Fonda,Chris Isaak,little buddha
Heather Langenkamp,Robert Englund,Miko Hughes,new nightmare
Mel Gibson,Jodie Foster,James Garner,maverick
Jennifer Jason Leigh,Campbell Scott,Matthew Broderick,mrs. parker and the vicious circle
Leslie Nielsen,Priscilla Presley,George Kennedy,the naked gun 33⅓: the final insult
Michael Keaton,Robert Duvall,Glenn Close,the paper
Winona Ryder,Ben Stiller,Janeane Garofalo,reality bites
Nicolas Cage,Dennis Hopper,Lara Flynn Boyle,red rock west
Macaulay Culkin,John Larroquette,Edward Herrmann,ri¢hie ri¢h
Susan Sarandon,Nick Stahl,Sam Shepard,safe passage
Meryl Streep,David Strathairn,Kevin Bacon,the river wild
Keanu Reeves,Dennis Hopper,Sandra Bullock,speed
Michael Keaton,Geena Davis,Christopher Reeve,speechless
Jean-Claude Van Damme,Mia Sara,Ron Silver,timecop
Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,true lies
Andy García,Meg Ryan,Ellen Burstyn,when a man loves a woman
Kevin Costner,Dennis Quaid,Gene Hackman,wyatt earp
Albert Finney,Brenda Fricker,Michael Gambon,a man of no importance
Stephen Dorff,Reese Witherspoon,Jake Busey,s.f.w.
Keenen Ivory Wayans,Charles S. Dutton,Jada Pinkett Smith,a low down dirty shame
James Andrews,Mary Beth Aylesworth,Mike Barbour,"boys life: three stories of love, lust, and liberation"
Gérard Depardieu,Fanny Ardant,Fabrice Luchini,colonel chabert
Tura Satana,Haji,Lori Williams,"faster, pussycat! kill! kill!"
Allen Payne,Jada Pinkett Smith,Bokeem Woodbine,jason's lyric
Nick Upton,Deborah Collard,Frank Passingham,the secret adventures of tom thumb
Jean-Claude Van Damme,Raúl Juliá,Ming-Na Wen,street fighter
Michael J. Fox,Jason Priestley,Kimberly Williams-Paisley,coldblooded
Steve Alden,David Arquette,Stephen Baldwin,fall time
